id,shop_id,name,due,address,upazilla_id,district_id,thana_id,division_id,union_id,phone,global,created_at,updated_at
1,1,"Beximco Pharmaceuticals Ltd.",0,"Dhaka Bangladesh",1,,5,,,01700000000,0,"2024-03-02 12:26:43","2024-03-02 12:26:43"
2,1,"ACME Laboratories Ltd.",0,"Dhaka Bangladesh",1,1,5,,,123456789,0,"2024-03-05 16:59:47","2024-03-05 17:02:11"
3,1,"ACI Limited",0,"Dhaka Bangladesh",1,1,5,,,0123456789,0,"2024-03-05 17:01:30","2024-03-05 17:01:50"
4,1,"Aexim Pharmaceuticals Ltd.",0,"Dhaka Bangladesh",1,,5,,,012345678,0,"2024-03-05 17:02:59","2024-03-05 17:02:59"
5,1,"Alco Pharma Ltd.",0,"Dhaka Bangladesh",1,,5,,,01234567,0,"2024-03-05 17:03:32","2024-03-05 17:03:32"
6,1,"Alien Pharma",0,"Dhaka Bangladesh",1,,5,,,0123456,0,"2024-03-05 17:04:02","2024-03-05 17:04:02"
7,1,"Apollo Pharmaceutical Ltd.",0,"Dhaka Bangladesh",1,,5,,,01234561,0,"2024-03-05 17:04:48","2024-03-05 17:04:48"
8,1,"Aristopharma Ltd.",0,"Dhaka Bangladesh",1,,5,,,01234562,0,"2024-03-05 17:05:24","2024-03-05 17:05:24"
9,1,"Bengal drugs Ltd.",0,"Dhaka Bangladesh",1,,5,,,01234563,0,"2024-03-05 17:06:15","2024-03-05 17:06:15"
10,1,"ADM Protexin Ltd",0,"Dhaka Bangladesh",1,,5,,,01234564,0,"2024-03-05 17:07:10","2024-03-05 17:07:10"
11,1,"Chemist Laboratories  Ltd.",0,"Dhaka Bangladesh",1,1,5,,,01234565,0,"2024-03-05 17:07:48","2024-03-05 17:08:40"
12,1,"Cosmic Pharma Ltd.",0,"Dhaka Bangladesh",1,,5,,,01234566,0,"2024-03-05 17:09:36","2024-03-05 17:09:36"
13,1,"Delta Pharma Ltd.",0,"Dhaka Bangladesh",1,,5,,,01234568,0,"2024-03-05 17:10:23","2024-03-05 17:10:23"
14,1,"Decent Pharma Laboratories Ltd.",0,"Dhaka Bangladesh",1,,5,,,01234569,0,"2024-03-05 17:10:44","2024-03-05 17:10:44"
15,1,"Drug International Ltd.",0,"Dhaka Bangladesh",1,,5,,,012345671,0,"2024-03-05 17:11:23","2024-03-05 17:11:23"
16,1,"Desh Pharmaceuticals Ltd.",0,"Dhaka Bangladesh",1,,5,,,012345672,0,"2024-03-05 17:12:01","2024-03-05 17:12:01"
17,1,"Ibn Sina Pharmaceuticals Ltd.",0,"Dhaka Bangladesh",1,,5,,,012345673,0,"2024-03-05 17:12:59","2024-03-05 17:12:59"
18,1,"Incepta Pharmaceuticals Ltd.",0,"Dhaka Bangladesh",1,,5,,,012345674,0,"2024-03-05 17:13:25","2024-03-05 17:13:25"
19,1,"Labaid Pharma Ltd.",0,"Dhaka Bangladesh",1,,5,,,012345677,0,"2024-03-05 17:14:24","2024-03-05 17:14:24"
20,1,"Navana Pharmaceuticals Ltd.",0,"Dhaka Bangladesh",1,1,5,,,01234568,0,"2024-03-05 17:15:12","2024-03-05 17:15:34"
21,1,"Ziska Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000000,0,"2024-03-06 18:32:46","2024-03-06 18:32:46"
22,1,"Zenith Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000000,0,"2024-03-06 18:34:02","2024-03-06 18:34:02"
23,1,"ZAS Corporation",0,Dhaka,1,,5,,,01710000000,0,"2024-03-06 18:34:44","2024-03-06 18:34:44"
24,1,"Xellia Pharmaceuticals, Denmark",0,Denmark,1,,5,,,01710000000,0,"2024-03-06 18:35:30","2024-03-06 18:35:30"
25,1,"Virgo Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000000,0,"2024-03-06 18:36:41","2024-03-06 18:36:41"
26,1,"Vifor International Ltd.",0,Dhaka,1,,5,,,01710000000,0,"2024-03-06 18:37:56","2024-03-06 18:37:56"
27,1,"Veritas Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000000,0,"2024-03-06 18:38:56","2024-03-06 18:38:56"
28,1,Valneva,0,Dhaka,1,,5,,,01710000001,0,"2024-03-06 18:40:04","2024-03-06 18:40:04"
29,1,"United Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000002,0,"2024-03-06 18:40:53","2024-03-06 18:40:53"
30,1,"Abbott Laboratories",0,Dhaka,1,,5,,,01710000002,0,"2024-03-06 18:42:25","2024-03-06 18:42:25"
31,1,"Ad-din Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000000,0,"2024-03-06 18:43:48","2024-03-06 18:43:48"
32,1,"Alkad Laboratories",0,Dhaka,1,,5,,,01710000002,0,"2024-03-06 18:46:21","2024-03-06 18:46:21"
33,1,"Allergan, Inc.",0,Dhaka,1,,5,,,01710000000,0,"2024-03-06 18:47:23","2024-03-06 18:47:23"
34,1,"Allied Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000002,0,"2024-03-06 18:47:52","2024-03-06 18:47:52"
35,1,"Ad-din Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,,0,"2024-03-06 18:48:40","2024-03-06 18:48:40"
36,1,"Unique Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000005,0,"2024-03-06 19:09:25","2024-03-06 19:09:25"
37,1,"UniMed UniHealth",0,Dhaka,1,,5,,,01710000006,0,"2024-03-06 19:10:44","2024-03-06 19:10:44"
38,1,"Ultra Pharma Ltd.",0,Dhaka,1,,5,,,01710000007,0,"2024-03-06 19:13:08","2024-03-06 19:13:08"
39,1,"The White Horse Pharma",0,Dhaka,1,,5,,,01710000000,0,"2024-03-06 19:14:10","2024-03-06 19:14:10"
40,1,"Techno Drugs Ltd.",0,Dhaka,1,,5,,,01710000000,0,"2024-03-06 19:15:11","2024-03-06 19:15:11"
41,1,"Team Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000074,0,"2024-03-06 19:16:16","2024-03-06 19:16:16"
42,1,"Syntho Laboratories Ltd.",0,Dhaka,1,,5,,,01710000009,0,"2024-03-06 19:16:55","2024-03-06 19:16:55"
43,1,"Synovia pharma plc",0,Dhaka,1,,5,,,01710000085,0,"2024-03-06 19:17:32","2024-03-06 19:17:32"
44,1,"Eskayef Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000003,0,"2024-03-06 19:19:39","2024-03-06 19:19:39"
45,1,"Euro Pharma Ltd.",0,Dhaka,1,,5,,,01710000789,0,"2024-03-06 19:20:54","2024-03-06 19:20:54"
46,1,"General Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000456,0,"2024-03-06 19:21:44","2024-03-06 19:21:44"
47,1,"Ambee Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000008,0,"2024-03-07 11:05:58","2024-03-07 11:05:58"
48,1,"Amico Laboratories Ltd.",0,Dhaka,1,,5,,,01710000004,0,"2024-03-07 11:07:32","2024-03-07 11:07:32"
49,1,"Amulet Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000099,0,"2024-03-07 11:08:27","2024-03-07 11:08:27"
50,1,"APC Pharma Ltd.",0,Dhaka,1,,5,,,01710000088,0,"2024-03-07 11:09:15","2024-03-07 11:09:15"
51,1,"Apex Pharmaceuticals Ltd.",0,Dhaka,1,,5,,,01710000077,0,"2024-03-07 11:09:59","2024-03-07 11:09:59"
